title,authors,id,source,date,url,abstract
Antioxidants and Exercise Performance: With a Focus on Vitamin E and C Supplementation,"Madalyn Riley Higgins, Azimeh Izadi, Mojtaba Kaviani",PMC7697466,International Journal of Environmental Research and Public Health,2020-11-15,https://doi.org/10.3390/ijerph17228452,"This paper reviews antioxidant supplementation, specifically vitamins E and C, for exercise performance. Evidence suggests supplementation may hinder exercise adaptations and is generally not beneficial, except in specific circumstances."
Vitamin C and E supplementation does not affect heat shock proteins or endogenous antioxidants in trained skeletal muscles during 12 weeks of strength training,"K. T. Cumming, T. Raastad, A. Sørstrøm, M. P. Paronetto, N. Mercatelli, I. Ugelstad, D. Caporossi, G...",PMC7050865,BMC nutrition,2017-08-17,https://doi.org/10.1186/s40795-017-0185-8,This study examined the impact of vitamin C and E supplementation on trained individuals undergoing strength training. The supplementation did not alter acute exercise stress responses or long-term adaptations in heat shock proteins or endogenous antioxidants.
Antioxidant supplements and endurance exercise: Current evidence and mechanistic insights,"Shaun A. Mason, Adam J. Trewin, Lewan Parker, Glenn D. Wadley",PMC7284926,PMC,2020-02-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7284926/,"This review examines antioxidant supplements for endurance athletes. Most supplements lack evidence for performance enhancement, with some potentially hindering training adaptations."
The Effects of Strength Training Combined with Vitamin C and E Supplementation on Skeletal Muscle Mass and Strength: A Systematic Review and Meta-Analysis,"Maurilio T. Dutra, Wagner Rodrigues Martins, Alexandre L. A. Ribeiro, Martim Bottaro",PMC6973181,Journal of Sports Medicine,2020-01-01,https://doi.org/10.1155/2020/3505209,This systematic review and meta-analysis examined studies on vitamin C and E supplementation combined with strength training. The findings suggest these supplements do not enhance muscle strength or mass and may even attenuate hypertrophy.
Effects of Acute Vitamin C plus Vitamin E Supplementation on Exercise-Induced Muscle Damage in Runners: A Double-Blind Randomized Controlled Trial,"María Martínez-Ferrán, Víctor Cuadrado-Peñafiel, Juan Manuel Sánchez-Andreo, Marta Villar-Lucas, Món...",PMC9659095,Nutrients,2022-11-03,https://doi.org/10.3390/nu14214635,This study investigated if vitamin C and E supplementation reduces exercise-induced muscle damage in runners. The supplementation did not significantly improve muscle damage markers or performance compared to a placebo.
"Vitamin C and E Treatment Blunts Sprint Interval Training–Induced Changes in Inflammatory Mediator-, Calcium-, and Mitochondria-Related Signaling in Recreationally Active Elderly Humans","Victoria L. Wyckelsma, Tomas Venckunas, Marius Brazaitis, Stefano Gastaldello, Audrius Snieckus, Ner...",PMC7555371,Antioxidants,2020-09-17,https://doi.org/10.3390/antiox9090879,"Sprint interval training in elderly individuals was studied with and without antioxidant treatment. Antioxidants blunted training-induced cellular signaling changes in muscle, but did not affect performance outcomes."
Do Antioxidant Vitamins Prevent Exercise-Induced Muscle Damage? A Systematic Review,"María Martinez-Ferran, Fabian Sanchis-Gomar, Carl J. Lavie, Giuseppe Lippi, Helios Pareja-Galeano",PMC7278664,PMC,2020-04-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7278664/,This systematic review examined vitamin C and E supplementation's effects on exercise-induced muscle damage. The available data are not conclusive regarding whether these vitamins prevent muscle damage.
Supplementation with Vitamins C and E and Exercise-Induced Delayed-Onset Muscle Soreness: A Systematic Review,"María F. Torre, María Martinez-Ferran, Néstor Vallecillo, Sergio L. Jiménez, Carlos Romero-Morales, ...",PMC7918905,Antioxidants,2021-02-12,https://doi.org/10.3390/antiox10020279,This systematic review examined vitamin C and E supplementation's effect on exercise-induced muscle soreness. The evidence is insufficient to confirm these vitamins minimize delayed-onset muscle soreness.
Differences in the Pro/Antioxidative Status and Cellular Stress Response in Elderly Women after 6 Weeks of Exercise Training Supported by 1000 mg of Vitamin C Supplementation,"Małgorzata Żychowska, Ewa Sadowska-Krępa, Elisabetta Damiani, Luca Tiano, Ewa Ziemann, Alicja Nowak-...",PMC9599586,Biomedicines,2022-10-20,https://doi.org/10.3390/biomedicines10102641,This study examined the effects of exercise training with vitamin C supplementation on antioxidant status and cellular stress response in elderly women. Vitamin C supplementation increased oxidative stress markers and influenced minor changes in gene expression related to training adaptation.
Antioxidant Supplementation Hinders the Role of Exercise Training as a Natural Activator of SIRT1,"Carmine Sellitto, Graziamaria Corbi, Berenice Stefanelli, Valentina Manzo, Marta Trucillo, Bruno Cha...",PMC9146003,Nutrients,2022-05-17,https://doi.org/10.3390/nu14102092,"Exercise training increases SIRT1 levels, which boosts the body's antioxidant system. However, antioxidant supplements appear to interfere with this exercise-induced activation of SIRT1."
