title,authors,id,source,date,url,abstract
Does Vitamin C and E Supplementation Impair the Favorable Adaptations of Regular Exercise?,"Michalis G. Nikolaidis, Chad M. Kerksick, Manfred Lamprecht, Steven R. McAnulty",PMC3425865,Oxidative Medicine and Cellular Longevity,2012-01-01,https://doi.org/10.1155/2012/707941,This study investigated whether vitamin C and E supplementation interferes with exercise adaptations. High doses of these vitamins are not recommended for exercising individuals due to conflicting evidence on their efficacy and potential harm.
Antioxidants and Exercise Performance: With a Focus on Vitamin E and C Supplementation,"Madalyn Riley Higgins, Azimeh Izadi, Mojtaba Kaviani",PMC7697466,International Journal of Environmental Research and Public Health,2020-11-15,https://doi.org/10.3390/ijerph17228452,"This paper reviews antioxidant supplementation, specifically vitamins E and C, for exercise performance. Evidence suggests supplementation may hinder exercise adaptations and is generally not beneficial, except in specific circumstances."
Can supplementation with vitamin C and E alter physiological adaptations to strength training?,"Gøran Paulsen, Kristoffer T Cumming, Håvard Hamarsland, Elisabet Børsheim, Sveinung Berntsen, Truls ...",PMC4114441,"BMC Sports Science, Medicine and Rehabilitation",2014-01-01,https://doi.org/10.1186/2052-1847-6-28,High doses of vitamins C and E were tested for their effects on strength training adaptations in young and older men. Supplementation blunted adaptations in young men but showed potential benefits in older men.
Effects of vitamin C and E supplementation on endogenous antioxidant systems and heat shock proteins in response to endurance training,"Kristoffer T. Cumming, Truls Raastad, Geir Holden, Nasser E. Bastani, Damaris Schneeberger, Maria Pa...",PMC4254089,Physiological Reports,2014-10-01,https://doi.org/10.14814/phy2.12142,This study examined vitamin C and E supplementation's effects on antioxidant and heat shock protein systems during endurance training. Supplementation did not alter long-term training adaptations but increased acute exercise stress responses.
Vitamin C and E supplementation does not affect heat shock proteins or endogenous antioxidants in trained skeletal muscles during 12 weeks of strength training,"K. T. Cumming, T. Raastad, A. Sørstrøm, M. P. Paronetto, N. Mercatelli, I. Ugelstad, D. Caporossi, G...",PMC7050865,BMC nutrition,2017-08-17,https://doi.org/10.1186/s40795-017-0185-8,This study examined the impact of vitamin C and E supplementation on trained individuals undergoing strength training. The supplementation did not alter acute exercise stress responses or long-term adaptations in heat shock proteins or endogenous antioxidants.
Effect of high-dose vitamin C and E supplementation on muscle recovery and training adaptation: a mini review,Jooyoung Kim,PMC10440181,Physical Activity and Nutrition,2023-06-01,https://doi.org/10.20463/pan.2023.0012,"This review examined high-dose vitamin C and E supplementation's effects on exercise-induced muscle recovery and training adaptation. Evidence suggests potential negative impacts on adaptation, with unclear benefits for recovery."
Antioxidant supplements and endurance exercise: Current evidence and mechanistic insights,"Shaun A. Mason, Adam J. Trewin, Lewan Parker, Glenn D. Wadley",PMC7284926,PMC,2020-02-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7284926/,"This review examines antioxidant supplements for endurance athletes. Most supplements lack evidence for performance enhancement, with some potentially hindering training adaptations."
The Effects of Strength Training Combined with Vitamin C and E Supplementation on Skeletal Muscle Mass and Strength: A Systematic Review and Meta-Analysis,"Maurilio T. Dutra, Wagner Rodrigues Martins, Alexandre L. A. Ribeiro, Martim Bottaro",PMC6973181,Journal of Sports Medicine,2020-01-01,https://doi.org/10.1155/2020/3505209,This systematic review and meta-analysis examined studies on vitamin C and E supplementation combined with strength training. The findings suggest these supplements do not enhance muscle strength or mass and may even attenuate hypertrophy.
The effects of antioxidant vitamin supplementation on resistance exercise induced lipid peroxidation in trained and untrained participants,"Peter E Viitala, Ian J Newhouse, Norm LaVoie, Christine Gottardo",PMC479696,Lipids in Health and Disease,2004-01-01,https://doi.org/10.1186/1476-511X-3-14,"This study investigated the impact of vitamin E supplementation on exercise-induced lipid peroxidation in trained and untrained individuals. Vitamin E supplementation did not reduce oxidative damage, and training status did not affect lipid peroxidation levels post-exercise."
Controversies of antioxidant vitamins supplementation in exercise: ergogenic or ergolytic effects in humans?,"Cainara Lins Draeger, Andréia Naves, Natália Marques, Ana Beatriz Baptistella, Renata Alves Carnauba...",PMC3975949,Journal of the International Society of Sports Nutrition,2014-01-01,https://doi.org/10.1186/1550-2783-11-4,"This commentary reviews recent studies on antioxidant vitamin supplementation and exercise-induced oxidative stress. Findings are controversial, with supplementation showing ergogenic, ergolytic, or no effects on physiological parameters and antioxidant enzyme activity."
"Vitamin C and E Treatment Blunts Sprint Interval Training–Induced Changes in Inflammatory Mediator-, Calcium-, and Mitochondria-Related Signaling in Recreationally Active Elderly Humans","Victoria L. Wyckelsma, Tomas Venckunas, Marius Brazaitis, Stefano Gastaldello, Audrius Snieckus, Ner...",PMC7555371,Antioxidants,2020-09-17,https://doi.org/10.3390/antiox9090879,"Sprint interval training in elderly individuals was studied with and without antioxidant treatment. Antioxidants blunted training-induced cellular signaling changes in muscle, but did not affect performance outcomes."
Do Antioxidant Vitamins Prevent Exercise-Induced Muscle Damage? A Systematic Review,"María Martinez-Ferran, Fabian Sanchis-Gomar, Carl J. Lavie, Giuseppe Lippi, Helios Pareja-Galeano",PMC7278664,PMC,2020-04-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7278664/,This systematic review examined vitamin C and E supplementation's effects on exercise-induced muscle damage. The available data are not conclusive regarding whether these vitamins prevent muscle damage.
Vitamin C and E Supplementation Effects in Professional Soccer Players Under Regular Training,"Claudio C Zoppi, Rodrigo Hohl, Fernando C Silva, Fernanda L Lazarim, Joaquim MF Antunes Neto, Mirtes...",PMC2129167,Journal of the International Society of Sports Nutrition,2006-01-01,https://doi.org/10.1186/1550-2783-3-2-37,This study investigated vitamin C and E supplementation in professional soccer players during training. Supplementation reduced lipid peroxidation and muscle damage but did not improve performance.
Effects of Acute Vitamin C plus Vitamin E Supplementation on Exercise-Induced Muscle Damage in Runners: A Double-Blind Randomized Controlled Trial,"María Martínez-Ferrán, Víctor Cuadrado-Peñafiel, Juan Manuel Sánchez-Andreo, Marta Villar-Lucas, Món...",PMC9659095,Nutrients,2022-11-03,https://doi.org/10.3390/nu14214635,This study investigated if vitamin C and E supplementation reduces exercise-induced muscle damage in runners. The supplementation did not significantly improve muscle damage markers or performance compared to a placebo.
Supplementation with Vitamins C and E and Exercise-Induced Delayed-Onset Muscle Soreness: A Systematic Review,"María F. Torre, María Martinez-Ferran, Néstor Vallecillo, Sergio L. Jiménez, Carlos Romero-Morales, ...",PMC7918905,PMC,2021-02-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7918905/,This systematic review examined vitamin C and E supplementation's effect on exercise-induced muscle soreness. The evidence is insufficient to confirm these vitamins minimize delayed-onset muscle soreness.
"Dietary thiols in exercise: oxidative stress defence, exercise performance, and adaptation","Yanita McLeay, Stephen Stannard, Stuart Houltham, Carlene Starck",PMC5408473,PMC,2017-04-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408473/,"This paper reviews dietary thiols, focusing on their role in exercise-induced oxidative stress defense and performance. It suggests that thiol donors, like keratin, may enhance antioxidant capacity and performance without negatively impacting training adaptations."
Vitamin C and glutathione supplementation: a review of their additive effects on exercise performance,"Eunjoo Lee, Hun-Young Park, Sung-Woo Kim, Jisu Kim, Kiwon Lim",PMC10636510,PMC,2023-09-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10636510/,This review examined vitamin C and glutathione supplementation's effects on exercise performance. Combined supplementation's additive effects are anticipated but remain largely unexplored and require further study.
Antioxidant Supplementation Hinders the Role of Exercise Training as a Natural Activator of SIRT1,"Carmine Sellitto, Graziamaria Corbi, Berenice Stefanelli, Valentina Manzo, Marta Trucillo, Bruno Cha...",PMC9146003,Nutrients,2022-05-17,https://doi.org/10.3390/nu14102092,"Exercise training increases SIRT1 levels, which boosts the body's antioxidant system. However, antioxidant supplements appear to interfere with this exercise-induced activation of SIRT1."
Differences in the Pro/Antioxidative Status and Cellular Stress Response in Elderly Women after 6 Weeks of Exercise Training Supported by 1000 mg of Vitamin C Supplementation,"Małgorzata Żychowska, Ewa Sadowska-Krępa, Elisabetta Damiani, Luca Tiano, Ewa Ziemann, Alicja Nowak-...",PMC9599586,Biomedicines,2022-10-20,https://doi.org/10.3390/biomedicines10102641,This study examined the effects of exercise training with vitamin C supplementation on antioxidant status and cellular stress response in elderly women. Vitamin C supplementation increased oxidative stress markers and influenced minor changes in gene expression related to training adaptation.
Prior exercise and antioxidant supplementation: effect on oxidative stress and muscle injury,"Richard J Bloomer, Michael J Falvo, Brian K Schilling, Webb A Smith",PMC2131751,Journal of the International Society of Sports Nutrition,2007-01-01,https://doi.org/10.1186/1550-2783-4-9,"This study investigated the effects of prior eccentric exercise and antioxidant supplementation on muscle injury and oxidative stress in resistance-trained men. Neither intervention, alone or combined, significantly reduced markers of muscle injury or oxidative stress."
Vitamin C and E Treatment Blocks Changes in Kynurenine Metabolism Triggered by Three Weeks of Sprint Interval Training in Recreationally Active Elderly Humans,"Victoria L. Wyckelsma, Ada Trepci, Lilly Schwieler, Tomas Venckunas, Marius Brazaitis, Sigitas Kaman...",PMC8465740,Antioxidants,2021-09-10,https://doi.org/10.3390/antiox10091443,Sprint interval training in elderly men altered kynurenine pathway metabolism towards neuroprotection. This beneficial shift was prevented by concurrent vitamin C and E supplementation.
A Vitamin E-Enriched Antioxidant Diet Interferes with the Acute Adaptation of the Liver to Physical Exercise in Mice,"Miriam Hoene, Martin Irmler, Johannes Beckers, Martin Hrabě de Angelis, Hans-Ulrich Häring, Cora Wei...",PMC5986427,Nutrients,2018-04-28,https://doi.org/10.3390/nu10050547,A study examined how a vitamin E-enriched diet affects the liver's response to exercise in mice. High vitamin E intake disrupted the liver's normal metabolic and inflammatory adaptations to physical activity.
"The Effect of Vitamins C and E Supplementation on Muscle Damage, Performance, and Body Composition in Athlete Women: A Clinical Trial","Maryam Taghiyar, Reza Ghiasvand, Gholamreza Askari, Awat Feizi, Mitra Hariri, Nafiseh Shokri Mashhad...",PMC3665021,International Journal of Preventive Medicine,2013-04-01,,"This clinical trial examined the effects of vitamin C and E supplementation on muscle damage, performance, and body composition in trained female athletes over four weeks. The study found no significant improvements in any of these parameters due to the supplementation."
