title,authors,id,source,date,url,abstract
Effects of vitamin C and E supplementation on endogenous antioxidant systems and heat shock proteins in response to endurance training,"Kristoffer T. Cumming, Truls Raastad, Geir Holden, Nasser E. Bastani, Damaris Schneeberger, Maria Pa...",PMC4254089,Physiological Reports,2014-10-01,https://doi.org/10.14814/phy2.12142,This study examined vitamin C and E supplementation's effects on antioxidant and heat shock protein systems during endurance training. Supplementation did not alter long-term training adaptations but increased acute exercise stress responses.
Vitamin C and E supplementation does not affect heat shock proteins or endogenous antioxidants in trained skeletal muscles during 12 weeks of strength training,"K. T. Cumming, T. Raastad, A. Sørstrøm, M. P. Paronetto, N. Mercatelli, I. Ugelstad, D. Caporossi, G...",PMC7050865,BMC nutrition,2017-08-17,https://doi.org/10.1186/s40795-017-0185-8,This study examined the impact of vitamin C and E supplementation on trained individuals undergoing strength training. The supplementation did not alter acute exercise stress responses or long-term adaptations in heat shock proteins or endogenous antioxidants.
Does Vitamin C and E Supplementation Impair the Favorable Adaptations of Regular Exercise?,"Michalis G. Nikolaidis, Chad M. Kerksick, Manfred Lamprecht, Steven R. McAnulty",PMC3425865,Oxidative Medicine and Cellular Longevity,2012-01-01,https://doi.org/10.1155/2012/707941,This study investigated whether vitamin C and E supplementation interferes with exercise adaptations. High doses of these vitamins are not recommended for exercising individuals due to conflicting evidence on their efficacy and potential harm.
Can supplementation with vitamin C and E alter physiological adaptations to strength training?,"Gøran Paulsen, Kristoffer T Cumming, Håvard Hamarsland, Elisabet Børsheim, Sveinung Berntsen, Truls ...",PMC4114441,"BMC Sports Science, Medicine and Rehabilitation",2014-01-01,https://doi.org/10.1186/2052-1847-6-28,High doses of vitamins C and E were tested for their effects on strength training adaptations in young and older men. Supplementation blunted adaptations in young men but showed potential benefits in older men.
Antioxidant Supplementation Hinders the Role of Exercise Training as a Natural Activator of SIRT1,"Carmine Sellitto, Graziamaria Corbi, Berenice Stefanelli, Valentina Manzo, Marta Trucillo, Bruno Cha...",PMC9146003,Nutrients,2022-05-17,https://doi.org/10.3390/nu14102092,"Exercise training increases SIRT1 levels, which boosts the body's antioxidant system. However, antioxidant supplements appear to interfere with this exercise-induced activation of SIRT1."
Prior exercise and antioxidant supplementation: effect on oxidative stress and muscle injury,"Richard J Bloomer, Michael J Falvo, Brian K Schilling, Webb A Smith",PMC2131751,Journal of the International Society of Sports Nutrition,2007-01-01,https://doi.org/10.1186/1550-2783-4-9,"This study investigated the effects of prior eccentric exercise and antioxidant supplementation on muscle injury and oxidative stress in resistance-trained men. Neither intervention, alone or combined, significantly reduced markers of muscle injury or oxidative stress."
Controversies of antioxidant vitamins supplementation in exercise: ergogenic or ergolytic effects in humans?,"Cainara Lins Draeger, Andréia Naves, Natália Marques, Ana Beatriz Baptistella, Renata Alves Carnauba...",PMC3975949,Journal of the International Society of Sports Nutrition,2014-01-01,https://doi.org/10.1186/1550-2783-11-4,"This commentary reviews recent studies on antioxidant vitamin supplementation and exercise-induced oxidative stress. Findings are controversial, with supplementation showing ergogenic, ergolytic, or no effects on physiological parameters and antioxidant enzyme activity."
The effects of antioxidant vitamin supplementation on resistance exercise induced lipid peroxidation in trained and untrained participants,"Peter E Viitala, Ian J Newhouse, Norm LaVoie, Christine Gottardo",PMC479696,Lipids in Health and Disease,2004-01-01,https://doi.org/10.1186/1476-511X-3-14,"This study investigated the impact of vitamin E supplementation on exercise-induced lipid peroxidation in trained and untrained individuals. Vitamin E supplementation did not reduce oxidative damage, and training status did not affect lipid peroxidation levels post-exercise."
The effect of an acute antioxidant supplementation compared with placebo on performance and hormonal response during a high volume resistance training session,"James Ackerman, Tom Clifford, Lars R McNaughton, David J Bentley",PMC4234291,Journal of the International Society of Sports Nutrition,2014-01-01,https://doi.org/10.1186/1550-2783-11-10,An antioxidant supplement was compared to a placebo before a high-volume resistance training session. The antioxidant group showed improved muscle performance and a blunted growth hormone response.
The Effect of Antioxidant Supplementation on Fatigue during Exercise: Potential Role for NAD + (H),"John Mach, Adrian W. Midgley, Steve Dank, Ross S. Grant, David J. Bentley",PMC3257644,Nutrients,2010-03-10,https://doi.org/10.3390/nu2030319,"This study investigated the impact of antioxidant supplementation on exercise fatigue and NAD+ levels. Antioxidant supplementation increased exercise time to fatigue and serum NAD+ levels, suggesting reduced oxidative stress improved aerobic respiration."
