title,authors,id,source,date,url,abstract
Effect of Vitamin C and Protein Supplementation on Plasma Nitrate and Nitrite Response following Consumption of Beetroot Juice,"Gary D. Miller, Beverly A. Nesbit, Daniel B. Kim-Shapiro, Swati Basu, Michael J. Berry",PMC9100995,PMC,2022-04-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9100995/,This study investigated the effect of vitamin C or protein supplementation on plasma nitrate and nitrite levels after beetroot juice consumption. No significant differences were found in plasma nitrate and nitrite levels when beetroot juice was co-ingested with vitamin C or whey protein compared to beetroot juice alone.
Effect of Beetroot Juice on Moderate-Intensity Exercise at a Constant Rating of Perceived Exertion,"JORDYN N. RIENKS, ANDREA A. VANDERWOUDE, ELIZABETH MAAS, ZACHARY M. BLEA, ANDREW W. SUBUDHI",PMC4833472,International Journal of Exercise Science,2015-01-01,,"This study investigated beetroot juice's effect on exercise at a constant perceived exertion. Beetroot juice did not alter oxygen consumption or work during self-regulated exercise, but did lower blood pressure and oxygen use at a fixed workload."
"Consumption of Nitrate-Rich Beetroot Juice with or without Vitamin C Supplementation Increases the Excretion of Urinary Nitrate, Nitrite, and  N -nitroso Compounds in Humans","Julia E. Berends, Lauri M.M. van den Berg, Martina A. Guggeis, Nikki F.T. Henckens, Israt J. Hossein...",PMC6539140,International Journal of Molecular Sciences,2019-05-08,https://doi.org/10.3390/ijms20092277,"Beetroot juice consumption increased urinary nitrate, nitrite, and N-nitroso compounds. Vitamin C supplementation reduced N-nitroso compound increase after a single dose but not after chronic use."
Influence of beetroot juice supplementation on intermittent exercise performance,"Lee J. Wylie, Stephen J. Bailey, James Kelly, James R. Blackwell, Anni Vanhatalo, Andrew M. Jones",PMC4717163,European Journal of Applied Physiology,2015-11-27,https://doi.org/10.1007/s00421-015-3296-4,"This study investigated the effect of beetroot juice supplementation on intermittent exercise performance in male team-sport players. Beetroot juice improved performance in short, repeated sprints with brief recovery, but not in longer intervals or those with extended recovery."
Beetroot Juice Supplementation Improves High-Intensity Intermittent Type Exercise Performance in Trained Soccer Players,"Jean Nyakayiru, Kristin L. Jonvik, Jorn Trommelen, Philippe J. M. Pinckaers, Joan M. Senden, Luc J. ...",PMC5372977,Nutrients,2017-03-22,https://doi.org/10.3390/nu9030314,Six days of beetroot juice supplementation were studied in trained soccer players. This supplementation improved high-intensity intermittent exercise performance and reduced heart rate.
Effect of Beetroot Juice Supplementation on Aerobic Capacity in Female Athletes: A Randomized Controlled Study  †,"Jekaterina Neteca, Una Veseta, Inga Liepina, Katrina Volgemute, Maija Dzintare, Dmitry Babarykin",PMC11723218,Nutrients,2024-12-27,https://doi.org/10.3390/nu17010063,"This study investigated the impact of beetroot juice on female endurance athletes' aerobic capacity. Beetroot juice supplementation significantly improved ventilation, respiratory equivalents, and heart rate, suggesting enhanced oxygen utilization."
The Effects of Beetroot Juice on VO 2 max and Blood Pressure during Submaximal Exercise,"JOSE M. PEREZ, JOHN L. DOBSON, GREGORY A. RYAN, AMY JO RIGGS",PMC6413851,International Journal of Exercise Science,2019-01-01,,This study examined beetroot juice's impact on VO2 max and blood pressure during submaximal exercise. Beetroot juice did not significantly alter VO2 max or blood pressure during submaximal exercise.
Effect of Beetroot Juice Supplementation on Aerobic Response during Swimming,"Marco Pinna, Silvana Roberto, Raffaele Milia, Elisabetta Marongiu, Sergio Olla, Andrea Loi, Gian Mar...",PMC3942720,Nutrients,2014-01-29,https://doi.org/10.3390/nu6020605,Beetroot juice supplementation was studied in master swimmers during incremental swimming tests. The supplementation increased workload at anaerobic threshold and reduced aerobic energy cost.
Acute beetroot juice supplementation does not attenuate knee extensor exercise muscle fatigue in a healthy young population,"Seungyong Lee, Mark G. Abel, Travis Thomas, T. Brock Symons, James W. Yates",PMC6477801,Journal of Exercise Nutrition & Biochemistry,2019-03-31,https://doi.org/10.20463/jenb.2019.0008,This study investigated the effect of beetroot juice on knee extensor muscle fatigue. Beetroot juice did not reduce fatigue but did increase blood pressure in healthy young adults.
The effect of beetroot juice (Beta Vulgaris L.) supplementation on ṼO2max of youth soccer athletes,"Fajar Rachman Adji, Zaenal M. Sofro, Mirza Hapsari",PMC10367025,Journal of Public Health in Africa,2022-12-07,https://doi.org/10.4081/jphia.2022.2406,This study investigated the effect of beetroot juice supplementation on the VO2max of youth soccer athletes. Both beetroot juice and placebo significantly increased VO2max levels in the athletes.
