title,authors,id,source,date,url,abstract
Relationship of Anthropometric and Training Characteristics with Race Performance in Endurance and Ultra-Endurance Athletes,Beat Knechtle,PMC4374609,Asian Journal of Sports Medicine,2014-06-01,,"Anthropometric and training characteristics were analyzed for their relationship with race performance in endurance and ultra-endurance athletes. Key predictors for ultra-endurance performance included fast shorter-race times, low body fat, and high training speed."
Effects of ascorbic acid supplementation on oxidative stress markers in healthy women following a single bout of exercise,"Manita Yimcharoen, Suwatsin Kittikunnathum, Chawannut Suknikorn, Wichuda Nak-on, Petcharee Yeethong,...",PMC6341721,biomedrxiv,2019-01-21,https://doi.org/10.1186/s12970-019-0269-8,This study investigated ascorbic acid's effects on oxidative stress markers in women after exercise. Ascorbic acid improved antioxidant capacity but did not prevent exercise-induced muscle damage.
Marginal vitamin C status is associated with reduced fat oxidation during submaximal exercise in young adults,"Carol S Johnston, Corinne Corte, Pamela D Swan",PMC1564400,Nutrition & Metabolism,2006-01-01,https://doi.org/10.1186/1743-7075-3-35,"Marginal vitamin C status was studied in relation to fat oxidation during submaximal exercise. Low vitamin C status was associated with reduced fat oxidation, which was improved by vitamin C repletion."
"Effects of Running-Specific Strength Training, Endurance Training, and Concurrent Training on Recreational Endurance Athletes’ Performance and Selected Anthropometric Parameters","Pablo Prieto-González, Jaromir Sedlacek",PMC9518107,International Journal of Environmental Research and Public Health,2022-08-29,https://doi.org/10.3390/ijerph191710773,"This study investigated the effects of running-specific strength, endurance, and concurrent training on recreational runners. Concurrent training demonstrated the most comprehensive improvements in body composition and performance metrics."
Effects of Separate Cognitive Training on Endurance Exercise Performance,"Neil Dallaway, Steven R. Bray, Kira L. Innes, Kathryn E. Andrusko, Christopher Ring",PMC12551073,Journal of Functional Morphology and Kinesiology,2025-10-08,https://doi.org/10.3390/jfmk10040391,"This study investigated the impact of standalone cognitive training on endurance exercise. Results showed no improvement in endurance performance, perceived exertion, or heart rate compared to control groups."
Vitamin C may alleviate exercise-induced bronchoconstriction: a meta-analysis,Harri Hemilä,PMC3686214,BMJ Open,2013-01-01,https://doi.org/10.1136/bmjopen-2012-002416,This meta-analysis examined if vitamin C affects exercise-induced bronchoconstriction. Vitamin C administration significantly reduced post-exercise FEV1 decline and the proportion of participants experiencing EIB.
"Strength Training Prior to Endurance Exercise: Impact on the Neuromuscular System, Endurance Performance and Cardiorespiratory Responses","Matheus Conceição, Eduardo Lusa Cadore, Miriam González-Izal, Mikel Izquierdo, Giane Veiga Liedtke, ...",PMC4327368,Journal of Human Kinetics,2014-12-09,https://doi.org/10.2478/hukin-2014-0123,"This study examined strength training's acute effects on neuromuscular and cardiorespiratory responses during endurance exercise. Strength training before endurance exercise impaired time-to-exhaustion, with no significant changes in oxygen uptake or heart rate."
Antioxidants and Exercise Performance: With a Focus on Vitamin E and C Supplementation,"Madalyn Riley Higgins, Azimeh Izadi, Mojtaba Kaviani",PMC7697466,biomedrxiv,2020-11-15,https://doi.org/10.3390/ijerph17228452,"This paper reviews antioxidant supplementation, specifically vitamins E and C, for exercise performance. Evidence suggests supplementation may hinder exercise adaptations and is generally not beneficial, except in specific circumstances."
Influence of Vitamin C Supplementation on Oxidative Stress and Neutrophil Inflammatory Response in Acute and Regular Exercise,"Ljiljana M. Popovic, Nebojsa R. Mitic, Dijana Miric, Boban Bisevac, Mirjana Miric, Brankica Popovic",PMC4352897,Oxidative Medicine and Cellular Longevity,2015-01-01,https://doi.org/10.1155/2015/295497,This study investigated vitamin C's impact on oxidative stress and neutrophil inflammation from exercise. Vitamin C supplementation reduced exercise-induced lipid peroxidation but did not affect neutrophil inflammatory response.
Differences in Training Adaptations of Endurance Performance during Combined Strength and Endurance Training in a 6-Month Crisis Management Operation,"Kai Pihlainen, Keijo Häkkinen, Matti Santtila, Jani Raitanen, Heikki Kyröläinen",PMC7084630,International Journal of Environmental Research and Public Health,2020-03-05,https://doi.org/10.3390/ijerph17051688,This study compared training adaptations in soldiers during a 6-month operation. Soldiers who were initially leaner and fitter were more likely to experience a decrease in aerobic fitness.
