title,authors,id,source,date,url,abstract
Randomized controlled trial for time-restricted eating in overweight and obese young adults,"Li-min Zhang, Zhan Liu, Jia-qi Wang, Rui-qiang Li, Jing-yi Ren, Xian Gao, Shuai-shuai Lv, Lu-yao Lia...",PMC9400087,iScience,2022-08-05,https://doi.org/10.1016/j.isci.2022.104870,"This study randomized overweight young adults to early, late, or no time-restricted eating for 8 weeks. Early time-restricted eating showed greater metabolic health improvements than late time-restricted eating or the control group."
"Time‐restricted eating, caloric reduction, and unrestricted eating effects on weight and metabolism: a randomized trial","Niki Oldenburg, Douglas G. Mashek, Lisa Harnack, Qi Wang, Emily N. C. Manoogian, Nicholas Evanoff, D...",PMC11937878,"Obesity (Silver Spring, Md.)",2025-02-19,https://doi.org/10.1002/oby.24252,"This study compared time-restricted eating (TRE), caloric restriction (CR), and unrestricted eating (UE) over 12 weeks. TRE did not significantly improve weight or metabolic measures compared to CR or UE, though reduced eating windows correlated with lower calorie intake and visceral fat."
The effects of early time restricted eating plus daily caloric restriction compared to daily caloric restriction alone on continuous glucose levels,"Adnin Zaman, Laura Grau, Rebecca Jeffers, Sheila Steinke, Victoria A. Catenacci, Marc‐Andre Cornier,...",PMC10804344,Obesity Science & Practice,2023-08-04,https://doi.org/10.1002/osp4.702,"This study compared early time-restricted eating plus daily caloric restriction (E-TRE+DCR) to daily caloric restriction (DCR) alone for 12 weeks. No significant differences were found in glucose profiles or insulin sensitivity between the groups, except for a greater reduction in glycemic excursion amplitude with DCR alone."
Time‐restricted eating did not alter insulin sensitivity or β‐cell function in adults with obesity: A randomized pilot study,"Anne E. Bantle, Kheng Joe Lau, Qi Wang, Samar Malaeb, Tasma Harindhanavudhi, Emily N. C. Manoogian, ...",PMC9877119,"Obesity (Silver Spring, Md.)",2022-12-14,https://doi.org/10.1002/oby.23620,A pilot study examined the effects of 12 weeks of time-restricted eating on insulin sensitivity and beta-cell function in adults with obesity. Time-restricted eating did not significantly alter these metabolic parameters compared to unrestricted eating.
Effect of Time-Restricted Eating on Weight Loss in Adults With Type 2 Diabetes,"Vasiliki Pavlou, Sofia Cienfuegos, Shuhao Lin, Mark Ezpeleta, Kathleen Ready, Sarah Corapi, Jackie W...",PMC10611992,JAMA Network Open,2023-10-27,https://doi.org/10.1001/jamanetworkopen.2023.39337,"A 6-month study compared time-restricted eating (TRE) to calorie restriction (CR) in adults with type 2 diabetes. TRE resulted in greater weight loss than CR, but both interventions similarly lowered HbA1c levels."
"Effect of time restricted eating on body weight and fasting glucose in participants with obesity: results of a randomized, controlled, virtual clinical trial","Pamela M. Peeke, Frank L. Greenway, Sonja K. Billes, Dachuan Zhang, Ken Fujioka",PMC7809455,Nutrition & Diabetes,2021-01-15,https://doi.org/10.1038/s41387-021-00149-0,A randomized trial tested 14:10 time-restricted eating (TRE) with a weight management program. 14:10 TRE resulted in greater weight loss and improved fasting glucose compared to 12:12 TRE.
Time-restricted feeding improves blood glucose and insulin sensitivity in overweight patients with type 2 diabetes: a randomised controlled trial,"Tingting Che, Cheng Yan, Dingyuan Tian, Xin Zhang, Xuejun Liu, Zhongming Wu",PMC8499480,Nutrition & Metabolism,2021-10-07,https://doi.org/10.1186/s12986-021-00613-9,"A randomized controlled trial investigated 10-hour time-restricted feeding in overweight type 2 diabetes patients over 12 weeks. Time-restricted feeding significantly improved blood glucose, insulin sensitivity, and weight compared to a control group."
Randomized controlled trial for time-restricted eating in healthy volunteers without obesity,"Zhibo Xie, Yuning Sun, Yuqian Ye, Dandan Hu, Hua Zhang, Zhangyuting He, Haitao Zhao, Huayu Yang, Yil...",PMC8864028,Nature Communications,2022-02-22,https://doi.org/10.1038/s41467-022-28662-5,A randomized trial compared early and mid-day time-restricted eating in healthy adults. Early time-restricted eating showed greater improvements in insulin sensitivity and other metabolic markers than mid-day time-restricted eating.
"Design and Implementation of a Time-Restricted Eating Intervention in a Randomized, Controlled Eating Study","Karen White, Beiwen Wu, Scott J. Pilla, Jeanne Charleston, May Thu Thu Maw, Lawrence J. Appel, Jeann...",PMC10144293,Nutrients,2023-04-20,https://doi.org/10.3390/nu15081978,"A randomized controlled study designed and implemented time-restricted eating (TRE) versus usual eating patterns (UEP). The study successfully achieved its intervention goals, providing a controlled method to isolate meal timing's effect on weight."
Weight-neutral early time-restricted eating improves glycemic variation and time in range without changes in inflammatory markers,"Joanne Bruno, Jeanne M. Walker, Shabnam Nasserifar, Dhairya Upadhyay, Andrea Ronning, Sally M. Vaneg...",PMC11699278,iScience,2024-11-29,https://doi.org/10.1016/j.isci.2024.111501,Early time-restricted eating was studied in adults with prediabetes. It improved glycemic control without affecting inflammatory markers.
