title,authors,id,source,date,url,abstract
Can supplementation with vitamin C and E alter physiological adaptations to strength training?,"Gøran Paulsen, Kristoffer T Cumming, Håvard Hamarsland, Elisabet Børsheim, Sveinung Berntsen, Truls ...",PMC4114441,"BMC Sports Science, Medicine and Rehabilitation",2014-01-01,https://doi.org/10.1186/2052-1847-6-28,High doses of vitamins C and E were tested for their effects on strength training adaptations in young and older men. Supplementation blunted adaptations in young men but showed potential benefits in older men.
Effects of vitamin C and E supplementation on endogenous antioxidant systems and heat shock proteins in response to endurance training,"Kristoffer T. Cumming, Truls Raastad, Geir Holden, Nasser E. Bastani, Damaris Schneeberger, Maria Pa...",PMC4254089,Physiological Reports,2014-10-01,https://doi.org/10.14814/phy2.12142,This study examined vitamin C and E supplementation's effects on antioxidant and heat shock protein systems during endurance training. Supplementation did not alter long-term training adaptations but increased acute exercise stress responses.
Vitamin C and E supplementation does not affect heat shock proteins or endogenous antioxidants in trained skeletal muscles during 12 weeks of strength training,"K. T. Cumming, T. Raastad, A. Sørstrøm, M. P. Paronetto, N. Mercatelli, I. Ugelstad, D. Caporossi, G...",PMC7050865,BMC nutrition,2017-08-17,https://doi.org/10.1186/s40795-017-0185-8,This study examined the impact of vitamin C and E supplementation on trained individuals undergoing strength training. The supplementation did not alter acute exercise stress responses or long-term adaptations in heat shock proteins or endogenous antioxidants.
The effect of an acute antioxidant supplementation compared with placebo on performance and hormonal response during a high volume resistance training session,"James Ackerman, Tom Clifford, Lars R McNaughton, David J Bentley",PMC4234291,Journal of the International Society of Sports Nutrition,2014-01-01,https://doi.org/10.1186/1550-2783-11-10,An antioxidant supplement was compared to a placebo before a high-volume resistance training session. The antioxidant group showed improved muscle performance and a blunted growth hormone response.
The effects of antioxidant vitamin supplementation on resistance exercise induced lipid peroxidation in trained and untrained participants,"Peter E Viitala, Ian J Newhouse, Norm LaVoie, Christine Gottardo",PMC479696,Lipids in Health and Disease,2004-01-01,https://doi.org/10.1186/1476-511X-3-14,"This study investigated the impact of vitamin E supplementation on exercise-induced lipid peroxidation in trained and untrained individuals. Vitamin E supplementation did not reduce oxidative damage, and training status did not affect lipid peroxidation levels post-exercise."
Effect of Antioxidant Supplementation on Exercise-Induced Cardiac Troponin Release in Cyclists: A Randomized Trial,"Lieke J. J. Klinkenberg, Peter T. Res, Guido R. Haenen, Aalt Bast, Luc J. C. van Loon, Marja P. van ...",PMC3834092,PLoS ONE,2013-01-01,https://doi.org/10.1371/journal.pone.0079280,"This study investigated the impact of astaxanthin supplementation on exercise-induced cardiac troponin release in cyclists. Astaxanthin supplementation did not reduce cardiac troponin release after prolonged cycling, nor did it improve antioxidant capacity or markers of muscle damage."
Antioxidant Supplementation Impairs Changes in Body Composition Induced by Strength Training in Young Women,"MAURILIO T. DUTRA, SÁVIO ALEX, ALYSON F. SILVA, LEE E. BROWN, MARTIM BOTTARO",PMC6413849,International Journal of Exercise Science,2019-01-01,,This study examined the effects of strength training with antioxidant supplementation on body composition in young women. Antioxidant supplementation impaired strength training-induced gains in fat-free mass and reductions in fat mass.
Prior exercise and antioxidant supplementation: effect on oxidative stress and muscle injury,"Richard J Bloomer, Michael J Falvo, Brian K Schilling, Webb A Smith",PMC2131751,Journal of the International Society of Sports Nutrition,2007-01-01,https://doi.org/10.1186/1550-2783-4-9,"This study investigated the effects of prior eccentric exercise and antioxidant supplementation on muscle injury and oxidative stress in resistance-trained men. Neither intervention, alone or combined, significantly reduced markers of muscle injury or oxidative stress."
Effects of Quercetin and Citrulline on Nitric Oxide Metabolites and Antioxidant Biomarkers in Trained Cyclists,"Jennifer A. Kurtz, Rafaela G. Feresin, Jacob Grazer, Jeff Otis, Kathryn E. Wilson, J. Andrew Doyle, ...",PMC11767657,PMC,2025-01-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11767657/,"This study investigated the effects of quercetin and citrulline supplementation on nitric oxide and antioxidant biomarkers in trained cyclists. Neither combined nor independent supplementation significantly improved these biomarkers, suggesting limited ergogenic efficacy in this context."
Controversies of antioxidant vitamins supplementation in exercise: ergogenic or ergolytic effects in humans?,"Cainara Lins Draeger, Andréia Naves, Natália Marques, Ana Beatriz Baptistella, Renata Alves Carnauba...",PMC3975949,Journal of the International Society of Sports Nutrition,2014-01-01,https://doi.org/10.1186/1550-2783-11-4,"This commentary reviews recent studies on antioxidant vitamin supplementation and exercise-induced oxidative stress. Findings are controversial, with supplementation showing ergogenic, ergolytic, or no effects on physiological parameters and antioxidant enzyme activity."
Mitochondria-targeted antioxidant supplementation improves 8 km time trial performance in middle-aged trained male cyclists,"S. C. Broome, A. J. Braakhuis, C. J. Mitchell, T. L. Merry",PMC8379793,PMC,2021-08-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8379793/,This study investigated the effect of MitoQ supplementation on cycling performance in trained male cyclists. MitoQ supplementation improved 8km time trial performance and increased average power output.
Antioxidant Supplementation Hinders the Role of Exercise Training as a Natural Activator of SIRT1,"Carmine Sellitto, Graziamaria Corbi, Berenice Stefanelli, Valentina Manzo, Marta Trucillo, Bruno Cha...",PMC9146003,Nutrients,2022-05-17,https://doi.org/10.3390/nu14102092,"Exercise training increases SIRT1 levels, which boosts the body's antioxidant system. However, antioxidant supplements appear to interfere with this exercise-induced activation of SIRT1."
Vitamin C and E Supplementation Effects in Professional Soccer Players Under Regular Training,"Claudio C Zoppi, Rodrigo Hohl, Fernando C Silva, Fernanda L Lazarim, Joaquim MF Antunes Neto, Mirtes...",PMC2129167,Journal of the International Society of Sports Nutrition,2006-01-01,https://doi.org/10.1186/1550-2783-3-2-37,This study investigated vitamin C and E supplementation in professional soccer players during training. Supplementation reduced lipid peroxidation and muscle damage but did not improve performance.
Effects of antioxidant supplementation on oxidative stress balance in young footballers- a randomized double-blind trial,"Błażej Stankiewicz, Mirosława Cieślicka, Sławomir Kujawski, Elżbieta Piskorska, Tomasz Kowalik, Just...",PMC8185910,PMC,2021-06-07,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8185910/,"Young footballers were given chokeberry juice for 7 weeks to study its effect on oxidative stress. The supplementation did not significantly alter oxidative stress markers, biochemical parameters, or performance."
Potential harms of supplementation with high doses of antioxidants in athletes,"Shunchang Li, Babatunde Fasipe, Ismail Laher",PMC9241084,biomedrxiv,2022-06-11,https://doi.org/10.1016/j.jesf.2022.06.001,This paper reviews the use of high-dose antioxidant supplements by athletes. It concludes that these supplements may hinder beneficial training adaptations and potentially cause harm.
Antioxidant supplements and endurance exercise: Current evidence and mechanistic insights,"Shaun A. Mason, Adam J. Trewin, Lewan Parker, Glenn D. Wadley",PMC7284926,PMC,2020-02-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7284926/,"This review examines antioxidant supplements for endurance athletes. Most supplements lack evidence for performance enhancement, with some potentially hindering training adaptations."
Antioxidants and Exercise Performance: With a Focus on Vitamin E and C Supplementation,"Madalyn Riley Higgins, Azimeh Izadi, Mojtaba Kaviani",PMC7697466,biomedrxiv,2020-11-15,https://doi.org/10.3390/ijerph17228452,"This paper reviews antioxidant supplementation, specifically vitamins E and C, for exercise performance. Evidence suggests supplementation may hinder exercise adaptations and is generally not beneficial, except in specific circumstances."
Effects of Peanut Protein Supplementation on Resistance Training Adaptations in Younger Adults,"Casey L. Sexton, Morgan A. Smith, Kristen S. Smith, Shelby C. Osburn, Joshua S. Godwin, Bradley A. R...",PMC8621247,Nutrients,2021-11-09,https://doi.org/10.3390/nu13113981,Peanut protein supplementation was studied alongside resistance training in young adults. The supplement did not affect muscle protein synthesis or strength gains in males and females.
Impact of Polyphenol Supplementation on Acute and Chronic Response to Resistance Training,"Kyle S. Beyer, Jeffrey R. Stout, David H. Fukuda, Adam R. Jajtner, Jeremy R. Townsend, David D. Chur...",PMC5662159,Journal of Strength and Conditioning Research,2017-11-01,https://doi.org/10.1519/JSC.0000000000002104,This study examined polyphenol blend supplementation's effects on resistance training adaptations. Supplementation increased antioxidant capacity but did not alter strength gains compared to placebo.
Does Vitamin C and E Supplementation Impair the Favorable Adaptations of Regular Exercise?,"Michalis G. Nikolaidis, Chad M. Kerksick, Manfred Lamprecht, Steven R. McAnulty",PMC3425865,Oxidative Medicine and Cellular Longevity,2012-01-01,https://doi.org/10.1155/2012/707941,This study investigated whether vitamin C and E supplementation interferes with exercise adaptations. High doses of these vitamins are not recommended for exercising individuals due to conflicting evidence on their efficacy and potential harm.
Additional Effects of Nutritional Antioxidant Supplementation on Peripheral Muscle during Pulmonary Rehabilitation in COPD Patients: A Randomized Controlled Trial,"Fares Gouzi, Jonathan Maury, Nelly Héraud, Nicolas Molinari, Héléna Bertet, Bronia Ayoub, Marine Bla...",PMC6501222,Oxidative Medicine and Cellular Longevity,2019-01-01,https://doi.org/10.1155/2019/5496346,This study investigated the effects of antioxidant supplementation during pulmonary rehabilitation in COPD patients. Supplementation did not improve muscle endurance but enhanced muscle strength and reduced muscle weakness.
"Antioxidants and Exercise: A Redox-Informed Framework for Training Adaptation, Performance, and Recovery",Dan Cristian Mănescu; Andrei Tudor; Andreea Maria Mănescu; Iulius Radulian Mărgărit; Cătălin Octavia...,PMC13113188,biomedrxiv,2026-04-07,https://doi.org/10.3390/antiox15040456,"Antioxidants can hinder training adaptations by blunting exercise-induced signals. However, certain food-derived antioxidants may aid recovery without impairing gains. A framework called Redox-Adaptive Periodization is proposed to optimize antioxidant use based on training goals."
Effects of arachidonic acid supplementation on training adaptations in resistance-trained males,"Michael D Roberts, Mike Iosia, Chad M Kerksick, Lem W Taylor, Bill Campbell, Colin D Wilborn, Travis...",PMC2217562,PMC,2007-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2217562/,"This study investigated arachidonic acid (AA) supplementation's effects on resistance-trained males. AA supplementation enhanced anaerobic capacity and reduced inflammation, but did not significantly improve strength, muscle mass, or hypertrophy markers."
"Effects of Methoxyisoflavone, Ecdysterone, and Sulfo-Polysaccharide Supplementation on Training Adaptations in Resistance-Trained Males","Colin D Wilborn, Lemuel W Taylor, Bill I Campbell, Chad Kerksick, Chris J Rasmussen, Michael Greenwo...",PMC2129166,Journal of the International Society of Sports Nutrition,2006-01-01,https://doi.org/10.1186/1550-2783-3-2-19,"Methoxyisoflavone, ecdysterone, and sulfo-polysaccharide were studied for their effects on resistance-trained males. Supplementation did not improve body composition, strength, or anabolic/catabolic markers."
Antioxidants and Skeletal Muscle Performance: “Common Knowledge” vs. Experimental Evidence,"Andrés Hernández, Arthur Cheng, Håkan Westerblad",PMC3298958,PMC,2012-03-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3298958/,This paper reviews experimental evidence on the effects of antioxidants on skeletal muscle performance. Findings suggest that common beliefs about antioxidant benefits may not be supported by scientific data and could potentially be harmful.
